CINUM,CINAME,DESCRIPTION,CLASSSTRUCTUREID,CMDB,STATUS,MAINIPLB
F5VIP-10.20.129.151: 7802,F5VIP-10.20.129.151: 7802,message-broker_11-test-VIP-7802,CMDB-IP-F5VIP,1,OPERATING,10.20.129.151
F5VIP-10.20.129.152: 443,F5VIP-10.20.129.152: 443,message-broker11-test-APP-443,CMDB-IP-F5VIP,1,OPERATING,10.20.129.152
F5VIP-10.20.129.152: 80,F5VIP-10.20.129.152: 80,message-broker11-test-APP-80,CMDB-IP-F5VIP,1,OPERATING,10.20.129.152
F5VIP-10.20.126.58: 7800,F5VIP-10.20.126.58: 7800,Middleware_13_Pro_VIP_7800,CMDB-IP-F5VIP,1,OPERATING,10.20.126.58
F5VIP-10.19.247.7: 80,F5VIP-10.19.247.7: 80,Mobile-SharePoint-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.247.7
F5VIP-10.19.247.7: 773,F5VIP-10.19.247.7: 773,Mobile-SharePoint-VIP-773,CMDB-IP-F5VIP,1,OPERATING,10.19.247.7
F5VIP-10.19.44.103: 443,F5VIP-10.19.44.103: 443,MTP-Telegraph_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.44.103
F5VIP-10.19.39.22: 3389,F5VIP-10.19.39.22: 3389,NEW-LCR-RDP-VIP-3389,CMDB-IP-F5VIP,1,OPERATING,10.19.39.22
F5VIP-10.19.39.22: 443,F5VIP-10.19.39.22: 443,New-LCR-Upgrade-https_Vip_443,CMDB-IP-F5VIP,1,OPERATING,10.19.39.22
F5VIP-10.19.29.102: 443,F5VIP-10.19.29.102: 443,OAS-VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.29.102
F5VIP-10.19.28.30: 443,F5VIP-10.19.28.30: 443,OCP-Worker-Apps_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.28.30
F5VIP-10.19.28.30: 80,F5VIP-10.19.28.30: 80,OCP-Worker-Apps_VIP_80,CMDB-IP-F5VIP,1,OPERATING,10.19.28.30
F5VIP-10.19.87.8: 443,F5VIP-10.19.87.8: 443,Office365-443,CMDB-IP-F5VIP,1,OPERATING,10.19.87.8
F5VIP-10.19.87.8: 80,F5VIP-10.19.87.8: 80,office365-identity,CMDB-IP-F5VIP,1,OPERATING,10.19.87.8
F5VIP-10.19.100.75: 1812,F5VIP-10.19.100.75: 1812,Onespan_VIP_1812,CMDB-IP-F5VIP,1,OPERATING,10.19.100.75
F5VIP-10.19.100.75: 1813,F5VIP-10.19.100.75: 1813,Onespan_VIP_1813,CMDB-IP-F5VIP,1,OPERATING,10.19.100.75
F5VIP-10.19.100.75: 8888,F5VIP-10.19.100.75: 8888,Onespan_VIP_8888,CMDB-IP-F5VIP,1,OPERATING,10.19.100.75
F5VIP-10.19.5.17: 80,F5VIP-10.19.5.17: 80,One-Stop-Shop,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 100,F5VIP-10.19.5.17: 100,One-Stop-Shop-VIP-100,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10030,F5VIP-10.19.5.17: 10030,One-Stop-Shop-VIP-10030,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10040,F5VIP-10.19.5.17: 10040,One-Stop-Shop-VIP-10040,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10070,F5VIP-10.19.5.17: 10070,One-Stop-Shop-VIP-10070,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 1050,F5VIP-10.19.5.17: 1050,One-Stop-Shop-VIP-1050,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
F5VIP-10.19.5.17: 10500,F5VIP-10.19.5.17: 10500,One-Stop-Shop-VIP-10500,CMDB-IP-F5VIP,1,OPERATING,10.19.5.17
