CINUM,SOURCECI,RELATIONNUM,TARGETCI,
WAFVIP-10.190.250.2,WAFVIP-10.190.250.2,PROTECTS,SERVER-10.19.187.137,
WAFVIP-10.190.250.28,WAFVIP-10.190.250.28,PROTECTS,SERVER-10.19.188.100,
WAFVIP-10.190.250.53,WAFVIP-10.190.250.53,PROTECTS,SERVER-10.19.188.100,
WAFVIP-10.190.250.59,WAFVIP-10.190.250.59,PROTECTS,SERVER-10.19.188.100,
WAFVIP-10.190.250.98,WAFVIP-10.190.250.98,PROTECTS,SERVER-10.19.26.115,
WAFVIP-10.190.250.121,WAFVIP-10.190.250.121,PROTECTS,SERVER-10.19.94.203,
WAFVIP-10.190.250.10,WAFVIP-10.190.250.10,PROTECTS,SERVER-10.19.67.201,
WAFVIP-10.190.250.32,WAFVIP-10.190.250.32,PROTECTS,SERVER-10.190.5.135,
WAFVIP-10.190.250.116,WAFVIP-10.190.250.116,PROTECTS,SERVER-10.19.57.97,
WAFVIP-10.190.250.105,WAFVIP-10.190.250.105,PROTECTS,SERVER-10.19.26.148,
WAFVIP-10.190.250.105,WAFVIP-10.190.250.105,PROTECTS,SERVER-10.19.26.148,
WAFVIP-10.190.250.37,WAFVIP-10.190.250.37,PROTECTS,SERVER-10.19.138.130,
WAFVIP-10.190.250.220,WAFVIP-10.190.250.220,PROTECTS,SERVER-10.20.24.18,
WAFVIP-10.190.250.221,WAFVIP-10.190.250.221,PROTECTS,SERVER-10.20.24.19,
WAFVIP-10.190.250.222,WAFVIP-10.190.250.222,PROTECTS,SERVER-10.19.72.7,
WAFVIP-10.190.250.63,WAFVIP-10.190.250.63,PROTECTS,SERVER-10.19.23.3,
WAFVIP-10.190.250.62,WAFVIP-10.190.250.62,PROTECTS,SERVER-10.19.23.2,
WAFVIP-10.190.250.100,WAFVIP-10.190.250.100,PROTECTS,SERVER-10.19.57.136,
WAFVIP-10.190.250.100,WAFVIP-10.190.250.100,PROTECTS,SERVER-10.19.57.136,
WAFVIP-10.190.250.101,WAFVIP-10.190.250.101,PROTECTS,SERVER-10.19.166.34,
WAFVIP-10.190.250.81,WAFVIP-10.190.250.81,PROTECTS,SERVER-10.19.43.93,
WAFVIP-10.190.250.48,WAFVIP-10.190.250.48,PROTECTS,SERVER-10.19.40.135,
WAFVIP-10.190.250.52,WAFVIP-10.190.250.52,PROTECTS,SERVER-10.19.42.98,
